"id","pn","biosv","prefix","net","poe","ign"
1,"Nuvis-5306RT-DTIO(EA)","NV53A002.Build180322","BNV5306D",6,1,0
2,"Nuvis-5306RT-NuMCU(EA)","NV53A002.Build180322","BNV5307N",6,1,0
3,"Nuvis-534RT-DTIO(EA)","NV534A01.Build200622","POC5534N",4,1,0
4,"Nuvis-534RT-NuMCU(EA)","NV534A01.Build200622","POC5534D",4,1,0
5,"Nuvis-7306RT-DTIO(EA)","NV73A001.Build200413","BNV7306D",6,1,1
6,"Nuvis-7306RT-NuMCU(EA)","NV73A001.Build200413","BNV7307N",6,1,1
7,"Nuvo-10108GC","NV10KA01.Build240222","BNVA2080",3,0,1
8,"Nuvo-10108GC-10G","NV10KA01.Build240222","BNVA2081",4,0,1
9,"Nuvo-10208GC","NV10KA01.Build240222","BNVA2080",3,0,1
10,"Nuvo-10208GC-10G","NV10KA01.Build240222","BNVA2081",4,0,1
11,"Nuvo-2421","NV24A002.Build220315","BNV24000",2,0,0
12,"Nuvo-2421-DIO","NV24A002.Build220315","BNV24000",2,0,0
13,"Nuvo-2430","NV24A002.Build220315","BNV24000",2,0,0
14,"Nuvo-2430-DIO","NV24A002.Build220315","BNV24000",2,0,0
16,"Nuvo-2600E","NV26A002.Build20230201","BNV26000",4,0,0
17,"Nuvo-2600E-IGN","NV26A002.Build20230201","BNV2600I",4,0,1
18,"Nuvo-2600E-PoE","NV26A002.Build20230201","BNV260P0",4,1,0
19,"Nuvo-2600E-PoE-IGN","NV26A002.Build20230201","BNV260PI",4,1,1
20,"Nuvo-2600J","NV26A002.Build20230201","BNV26000",4,0,0
21,"Nuvo-2600J-IGN","NV26A002.Build20230201","BNV2600I",4,0,1
22,"Nuvo-2600J-PoE","NV26A002.Build20230201","BNV260P0",4,1,0
23,"Nuvo-2600J-PoE-IGN","NV26A002.Build20230201","BNV260PI",4,1,1
24,"Nuvo-2610RL-H","NV26A002.Build20230201","BNV26100",4,0,0
25,"Nuvo-2610VTC","NV26A002.Build20230201","BNV261PI",4,1,1
26,"Nuvo-2611VTC","NV26A002.Build20230201","VT261100",4,1,1
27,"Nuvo-2612VTC","NV26A002.Build20230201","VT261200",4,1,1
28,"Nuvo-2615RL-H","NV26A002.Build20230201","BNV26150",4,1,0
29,"Nuvo-2700DS","NV27A001.Build210105 ","BNV27000",2,0,1
30,"Nuvo-5002E","NV5KA009.Build180829","BNV50020",2,0,0
31,"Nuvo-5002LP","NV5KA009.Build180829","BNV50020",2,0,0
32,"Nuvo-5002P","NV5KA009.Build180829","BNV50020",2,0,0
33,"Nuvo-5006E","NV5KA009.Build180829","BNV50060",6,0,0
34,"Nuvo-5006E-PoE","NV5KA009.Build180829","BNV5006P",6,1,0
35,"Nuvo-5006LP","NV5KA009.Build180829","BNV50060",6,0,0
36,"Nuvo-5006LP-PoE","NV5KA009.Build180829","BNV5006P",6,1,0
37,"Nuvo-5006P","NV5KA009.Build180829","BNV50060",6,0,0
38,"Nuvo-5006P-PoE","NV5KA009.Build180829","BNV5006P",6,1,0
39,"Nuvo-5026E","NV5KA009.Build180829","BNV50260",6,0,0
40,"Nuvo-5026E-PoE","NV5KA009.Build180829","BNV5026P",6,1,0
41,"Nuvo-5095GC","NV5KA009.Build180829","BNV50950",6,0,0
42,"Nuvo-5095GC-PoE","NV5KA009.Build180829","BNV5095P",6,1,0
43,"Nuvo-5100VTC","NV51A006.Build180829","BNV51000",6,1,1
44,"Nuvo-5104VTC","NV51A006.Build180829","BNV51040",6,1,1
45,"Nuvo-5108VTC","NV51A006.Build180829","BNV51080",10,1,1
46,"Nuvo-5501","NV55A003.Build180830 ","BNV55010",3,0,0
47,"Nuvo-5501-DIO","NV55A003.Build180830","BNV5501D",3,0,0
